x-axis,1,2,3,4
second,Volt,Volt,Volt,Ampere
-11.88800E-03,+13.08750000E+00,-737.50000E-03,-625.00000E-03,-866.25002E-03
-11.83800E-03,+6.52500000E+00,-500.00000E-03,-550.00000E-03,-1.08250002E+00
-11.78800E-03,+11.68750000E+00,-500.00000E-03,-387.50000E-03,-142.50002E-03
-11.73800E-03,+15.32500000E+00,-500.00000E-03,-625.00000E-03,-632.50002E-03
-11.68800E-03,+11.51250000E+00,-575.00000E-03,-550.00000E-03,-951.25002E-03
-11.63800E-03,+2.73750000E+00,-737.50000E-03,-312.50000E-03,-313.75002E-03
-11.58800E-03,+15.48750000E+00,-500.00000E-03,-387.50000E-03,-280.00002E-03
-11.53800E-03,+11.27500000E+00,-500.00000E-03,-625.00000E-03,-932.50002E-03
-11.48800E-03,+1.61250000E+00,-500.00000E-03,-550.00000E-03,-931.25002E-03
-11.43800E-03,+12.00000000E+00,-500.00000E-03,-387.50000E-03,-205.00002E-03
-11.38800E-03,+15.56250000E+00,-575.00000E-03,-550.00000E-03,-702.50002E-03
-11.33800E-03,+13.76250000E+00,-737.50000E-03,-312.50000E-03,-955.00002E-03
-11.28800E-03,+9.78750000E+00,-425.00000E-03,-387.50000E-03,-130.00002E-03
-11.23800E-03,+15.25000000E+00,-262.50000E-03,-550.00000E-03,-412.50002E-03
-11.18800E-03,+11.27500000E+00,-575.00000E-03,-387.50000E-03,-991.25002E-03
-11.13800E-03,+1.46250000E+00,-812.50000E-03,-550.00000E-03,-711.25002E-03
-11.08800E-03,+11.52500000E+00,-737.50000E-03,-387.50000E-03,-147.50002E-03
-11.03800E-03,+15.48750000E+00,-500.00000E-03,-550.00000E-03,-873.75002E-03
-10.98800E-03,+14.27500000E+00,-425.00000E-03,-312.50000E-03,-1.11375002E+00
-10.93800E-03,+12.16250000E+00,-262.50000E-03,-312.50000E-03,-158.75002E-03
-10.88800E-03,+15.32500000E+00,-500.00000E-03,-387.50000E-03,-623.75002E-03
